# rs, q cutoff (1/kf) ,freq cutoff (1/kf**2), ec_rpa, PE (%)
1.000000000000000056e-01,4.000000000000000000e+00,4.000000000000000000e+00,-1.424541875683632275e-01,9.489020711047513323e-01
1.000000000000000000e+00,4.500000000000000000e+00,8.000000000000000000e+00,-7.806033933197110974e-02,8.643484127853096055e-01
2.000000000000000000e+00,5.000000000000000000e+00,8.500000000000000000e+00,-6.119291820963360801e-02,9.775284838825726297e-01
3.000000000000000000e+00,5.500000000000000000e+00,9.500000000000000000e+00,-5.226699794551831202e-02,9.614838085485910568e-01
4.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+01,-4.637667792981499393e-02,9.617159300757349705e-01
5.000000000000000000e+00,6.500000000000000000e+00,1.050000000000000000e+01,-4.208851098068399493e-02,9.481367157858744399e-01
1.000000000000000000e+01,7.000000000000000000e+00,1.250000000000000000e+01,-3.036084718780640915e-02,9.804506787012501334e-01
2.000000000000000000e+01,8.000000000000000000e+00,1.500000000000000000e+01,-2.116127258514100690e-02,9.640657424968224198e-01
4.000000000000000000e+01,1.000000000000000000e+01,1.850000000000000000e+01,-1.431132767756049598e-02,9.858803894937206991e-01
6.000000000000000000e+01,1.450000000000000000e+01,2.150000000000000000e+01,-1.125343755724097540e-02,9.995644144368043271e-01
8.000000000000000000e+01,6.450000000000000000e+01,2.250000000000000000e+01,-9.432094214866191054e-03,1.154319177341034397e+00
1.000000000000000000e+02,1.145000000000000000e+02,2.300000000000000000e+01,-8.200573994609791292e-03,1.331031063214005439e+00
1.200000000000000000e+02,1.645000000000000000e+02,2.350000000000000000e+01,-7.303556955982724516e-03,1.481554247704952587e+00
